food,gram,adjusted_protein,alanine,alcohol_ethyl,arginine,ash,aspartic_acid,beta_sitosterol,betaine,caffeine,calcium,campesterol,carb,carotene_alpha,carotene_beta,cholesterol,choline,copper,cryptoxanthin_beta,cystine,dihydrophylloquinone,energy,energy_2,fat,fat_10_0,fat_12_0,fat_13_0,fat_14_0,fat_14_1,fat_15_0,fat_15_1,fat_16_0,fat_16_1_c,fat_16_1_t,fat_16_1_undifferentiated,fat_17_0,fat_17_1,fat_18_0,fat_18_1_11_t,fat_18_1_c,fat_18_1_t,fat_18_1_undifferentiated,fat_18_2_CLAs,fat_18_2_i,fat_18_2_n_6_c_c,fat_18_2_t_not_further_defined,fat_18_2_t_t,fat_18_2_undifferentiated,fat_18_3_i,fat_18_3_n_3_c_c_c,fat_18_3_n_6_c_c_c,fat_18_3_undifferentiated,fat_18_4,fat_20_0,fat_20_1,fat_20_2_n_6_c_c,fat_20_3_n_3,fat_20_3_n_6,fat_20_3_undifferentiated,fat_20_4_n_6,fat_20_4_undifferentiated,fat_20_5_n_3,fat_21_5,fat_22_0,fat_22_1_c,fat_22_1_t,fat_22_1_undifferentiated,fat_22_4,fat_22_5_n_3,fat_22_6_n_3,fat_24_0,fat_24_1_c,fat_4_0,fat_6_0,fat_8_0,fat_monounsaturated,fat_polyunsaturated,fat_saturated,fat_trans,fat_trans_monoenoic,fat_trans_polyenoic,fiber,fluoride,folate,folate_dfe,folate_food,folic_acid,food_group,food_id,fructose,galactose,glucose,glutamic_acid,glycine,histidine,hydroxyproline,iron,isoleucine,lactose,leucine,lutein_zeaxanthin,lycopene,lysine,magnesium,maltose,manganese,max_grams_day,max_grams_meal,menaquinone_4,methionine,niacin,pantothenic_acid,phenylalanine,phosphorus,phytosterols,potassium,proline,protein,retinol,riboflavin,selenium,serine,serving_size,sodium,starch,stigmasterol,sucrose,sugar,theobromine,thiamin,threonine,tocopherol_beta,tocopherol_delta,tocopherol_gamma,tocotrienol_alpha,tocotrienol_beta,tocotrienol_delta,tocotrienol_gamma,tryptophan,tyrosine,usda_name,valine,vitamin_a_iu,vitamin_a_rae,vitamin_b12,vitamin_b12_added,vitamin_b6,vitamin_c,vitamin_d,vitamin_d2,vitamin_d3,vitamin_d_d2andd3,vitamin_e_added,vitamin_e_alpha_tocopherol,vitamin_k,water,zinc
rainbow smelt p21f03,120,0,1.2792,0,1.266,1.68,2.166,0,0,0,72,0,0,0,0,84,78,0.1668,0,0.2268,0,116.4,487.2,2.904,0,0.0024,0,0.0936,0,0,0,0.3936,0,0,0.2388,0,0,0.0492,0,0,0,0.4884,0,0,0,0,0,0.054,0,0,0,0.0588,0.03,0,0.0336,0,0,0,0,0,0.066,0.33,0,0,0,0,0.0012,0,0.0216,0.5016,0,0,0,0,0,0.7692,1.062,0.5424,0,0,0,0,0,4.8,4.8,4.8,0,proteins,15099,0,0,0,3.1584,1.0152,0.6228,0,1.08,0.9744,0,1.7196,0,0,1.9428,36,0,0.84,-1,-1,0,0.6264,1.74,0.7656,0.8256,276,0,348,0.7476,21.156,18,0.144,43.8,0.8628,120,72,0,0,0,0,0,0.012,0.9276,0,0,0,0,0,0,0,0.2364,0.714,"Fish, smelt, rainbow, raw",1.0896,60,18,4.128,0,0.18,0,37.2,0,0.96,0.96,0,0.6,0.12,94.524,1.98
rapeseed / canola oil,4.5,0,0,0,0,0,0,18.585,0,0,0,10.845,0,0,0,0,0.009,0,0,0,0,39.78,166.455,4.5,0,0,0,0,0,0,0,0.19341,0,0,0.00963,0,0,0.093915,0,2.77713,0.00135,2.77848,0,0,0.8388,0,0.016425,0.855225,0,0.411165,0,0.411165,0,0.02925,0.059265,0,0,0,0,0,0,0,0,0.01485,0,0,0,0,0,0,0,0,0,0,0,2.84742,1.26639,0.331425,0.017775,0.00135,0,0,0,0,0,0,0,fats,4582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0.135,0,0,0,0,0,0.00045,0.04455,1.2303,0,0,0,0,0,0,"Oil, canola",0,0,0,0,0,0,0,0,0,0,0,0,0.7857,3.2085,0,0
raw cane sugar,16,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sugars,45105911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,"RAW CANE SUGAR, UPC: 869112000007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
red cabbage,89,0,0.04272,0,0.07387,0.5696,0.12104,0,0.089,0,40.05,0,6.5593,0,596.3,0,15.219,0.01513,0,0.01068,0,27.59,115.7,0.1424,0,0.00089,0,0.00089,0,0,0,0.01691,0,0,0,0,0,0.00089,0,0,0,0.01068,0,0,0,0,0,0.03026,0,0,0,0.04005,0,0,0,0,0,0,0,0,0.00089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01068,0.0712,0.01869,0,0,0,1.869,0,16.02,16.02,16.02,0,vegetables,11112,1.3172,0,1.5486,0.29281,0.03026,0.02136,0,0.712,0.03026,0,0.04094,292.81,17.8,0.04361,14.24,0,0.21627,-1,127,0,0.01246,0.37202,0.13083,0.03204,26.7,0,216.27,0.04806,1.2727,0,0.06141,0.534,0.05251,89,24.03,0,0,0.534,3.4087,0,0.05696,0.03471,0,0,0,0,0,0,0,0.01068,0.01958,"Cabbage, red, raw",0.04272,993.24,49.84,0,0,0.18601,50.73,0,0,0,0,0,0.0979,33.998,80.4471,0.1958
red coral lettuce,72,0,0.03672,0,0.02952,0.396,0.1008,0,0.144,0,23.76,0,1.6272,0,3236.4,0,8.496,0.02016,0,0.00648,0,11.52,48.96,0.1584,0,0,0,0,0,0,0,0.01152,0,0,0.00072,0,0,0.00144,0,0,0,0.00288,0,0,0,0,0,0.01512,0,0,0,0.03672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036,0.05184,0.01224,0,0,0,0.648,0,25.92,25.92,25.92,0,vegetables,11257,0.2016,0,0.144,0.1116,0.03456,0.01368,0,0.864,0.02736,0,0.0504,1241.28,0,0.0324,8.64,0,0.14616,-1,-1,0,0.01152,0.23112,0.10368,0.04824,20.16,0,134.64,0.02736,0.9576,0,0.05544,1.08,0.03168,72,18,0,0,0,0.3456,0,0.04608,0.03456,0,0,0.1728,0,0,0,0,0.01584,0.02088,"Lettuce, red leaf, raw",0.03456,5394.24,270,0,0,0.072,2.664,0,0,0,0,0,0.108,101.016,68.8608,0.144
"red porgy, sheepshead, or scup p24f03",120,0,1.4664,0,1.452,1.308,2.484,0,0,0,25.2,0,0,0,0,60,0,0.0372,0,0.2604,0,129.6,542.4,2.892,0,0,0,0.0912,0,0,0,0.4872,0,0,0.2412,0,0,0.1368,0,0,0,0.5496,0,0,0,0,0,0.0528,0,0,0,0.0072,0.0324,0,0.0828,0,0,0,0,0,0.1272,0.1656,0,0,0,0,0,0,0.0888,0.1476,0,0,0,0,0,0.8736,0.6216,0.7308,0,0,0,0,0,18,18,18,0,proteins,15097,0,0,0,3.6204,1.164,0.714,0,0.552,1.1172,0,1.9716,0,0,2.2272,38.4,0,0.0156,-1,-1,0,0.7176,1.8,0.9,0.9468,375.6,0,484.8,0.858,24.252,36,0.048,43.8,0.99,120,85.2,0,0,0,0,0,0.012,1.0632,0,0,0,0,0,0,0,0.2712,0.8184,"Fish, sheepshead, raw",1.2492,120,36,2.4,0,0.36,0,0,0,0,0,0,0,0,93.564,0.468
red potato ,122,0,0.07076,0,0.11346,1.342,0.53924,0,0.244,0,12.2,0,19.398,0,4.88,0,20.008,0.16348,0,0.02684,0,85.4,359.9,0.1708,0.00122,0.00488,0,0.00122,0,0,0,0.02684,0,0,0.00122,0,0,0.0061,0,0,0,0.00122,0,0,0,0,0,0.05368,0,0,0,0.01708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00366,0.07198,0.0427,0,0,0,2.074,0,21.96,21.96,21.96,0,grains,11355,0.3782,0,0.488,0.39406,0.06344,0.03904,0,0.8906,0.07442,0,0.1098,25.62,0,0.11956,26.84,0,0.17202,-1,-1,0,0.03538,1.40178,0.34038,0.0915,74.42,6.1,555.1,0.07076,2.3058,0,0.03782,0.61,0.08418,122,21.96,16.287,0,0.3538,1.5738,0,0.09882,0.07564,0,0,0,0,0,0,0,0.02318,0.05368,"Potatoes, red, flesh and skin, raw",0.1159,8.54,0,0,0,0.2074,10.492,0,0,0,0,0,0.0122,3.538,98.7712,0.4026
red rice,180,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,599.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,grains,45057460,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0,239.4,0,5.4,-1,-1,0,0,0,0,0,599.4,0,525.6,0,12.006,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LOTUS FOODS, HEIRLOOM, BHUTAN RED RICE, UPC: 708953001609",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7
red wine,4.9,0,0,0.5096,0,0.01225,0,0,0,0,0,0,0.11319,0,0,0,0,0,0,0,0,4.018,16.709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,acids,14099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7,-1,0,0,0,0,0,0,0,0,0,0.00343,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alcoholic Beverage, wine, table, red, Pinot Noir",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26006,0
"ribeye steak, fat trimmed, choice",454,0,6.37416,0,7.13234,4.6762,10.27402,0,0,0,22.7,0,0.8172,0,0,295.1,0,0.44946,0,1.06236,0,626.52,2628.66,24.0166,0.00908,0.01362,0,0.5902,0.12712,0,0,5.27548,0,0,0.6356,0.29964,0.1816,2.69676,0,9.02098,1.05782,10.0788,0.05902,0,0.70824,0,0,0.76726,0,0,0.0454,0.0454,0,0.00908,0.03632,0,0,0,0,0,0.1589,0.00908,0,0,0,0,0,0,0.03178,0.00454,0.04086,0,0,0,0,11.05944,0.98064,8.90748,1.05782,1.05782,0,0,0,18.16,18.16,18.16,0,proteins,23264,0,0,0,17.41998,4.59448,3.90894,0.51756,10.3058,4.994,0,9.15264,0,0,10.1923,118.04,0,0,-1,-1,0,2.8375,26.04144,0,4.25398,1026.04,0,1820.54,4.45374,102.2408,9.08,0.81266,109.414,4.31754,454,299.64,0,0,0,0,0,0.28602,5.02124,0,0,0,0,0,0,0,1.20764,3.98158,"Beef, ribeye  petite roast/filet, boneless, separable lean only, trimmed to 0"" fat, choice, raw",5.28456,27.24,9.08,14.3918,0,2.92376,0,13.62,0,0.454,0.454,0,0,6.81,322.2946,23.9712
